date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:04	9158/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:03%20GMT	https://cognito.co.nz/manual/moneyworks_mwnow_moneyworks_now.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_mwnow_moneyworks_now.html	(from https://cognito.co.nz/manual/)
20:30:07	10832/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:06%20GMT	https://cognito.co.nz/manual/moneyworks_mwnow_creating_a_moneyworks_now_account_in_moneyworks.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_mwnow_creating_a_moneyworks_now_account_in_moneyworks.html	(from https://cognito.co.nz/manual/)
20:30:10	13633/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:10%20GMT	https://cognito.co.nz/manual/moneyworks_mwnow_migrating_a_moneyworks_document_into_the_moneyworks_now_cloud.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_mwnow_migrating_a_moneyworks_document_into_the_moneyworks_now_cloud.html	(from https://cognito.co.nz/manual/)
20:30:13	9690/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:12%20GMT	https://cognito.co.nz/manual/moneyworks_services_moneyworks_services__support_and_maintenance.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_services_moneyworks_services__support_and_maintenance.html	(from https://cognito.co.nz/manual/)
20:30:16	8972/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:15%20GMT	https://cognito.co.nz/manual/moneyworks_services_accessing_managing_moneyworks_services.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_services_accessing_managing_moneyworks_services.html	(from https://cognito.co.nz/manual/)
20:30:19	11122/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:18%20GMT	https://cognito.co.nz/manual/moneyworks_services_moneyworks_maintenance.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_services_moneyworks_maintenance.html	(from https://cognito.co.nz/manual/)
20:30:23	10374/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:21%20GMT	https://cognito.co.nz/manual/moneyworks_accounts_chart_of_accounts.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_accounts_chart_of_accounts.html	(from https://cognito.co.nz/manual/)
20:30:29	14053/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:24%20GMT	https://cognito.co.nz/manual/moneyworks_accounts_moneyworks_accounts.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_accounts_moneyworks_accounts.html	(from https://cognito.co.nz/manual/)
20:30:30	9855/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:29%20GMT	https://cognito.co.nz/manual/moneyworks_accounts_cloning_an_existing_moneyworks_document.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_accounts_cloning_an_existing_moneyworks_document.html	(from https://cognito.co.nz/manual/)
20:30:33	8879/-1	---M--	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2018:30:32%20GMT	https://cognito.co.nz/manual/moneyworks_accounts_maintaining_your_chart_of_accounts.html	/Users/hjonck/Development/gitprojects/AgileWorksZA/mw-core/mirror/manual/manual/moneyworks_accounts_maintaining_your_chart_of_accounts.html	(from https://cognito.co.nz/manual/)
